group,delivery_method,date,total_riders,total_deliver
group_1,BIKE,day_05_15_,"1,557 ","12,991 "
group_1,CAR,day_05_15_,170 ,387 
group_1,GENERAL_BICYCLES,day_05_15_,84 ,284 
group_1,KICKBOARD,day_05_15_,53 ,194 
group_1,PAS_BICYCLES,day_05_15_,227 ,944 
group_1,THROTTLE_BICYCLES,day_05_15_,93 ,441 
group_1,WALK,day_05_15_,230 ,662 
group_3,BIKE,day_05_15_,"20,993 ","279,106 "
group_3,CAR,day_05_15_,"1,184 ","4,045 "
group_3,GENERAL_BICYCLES,day_05_15_,512 ,"2,663 "
group_3,KICKBOARD,day_05_15_,161 ,"1,116 "
group_3,PAS_BICYCLES,day_05_15_,"1,561 ","11,779 "
group_3,THROTTLE_BICYCLES,day_05_15_,864 ,"7,124 "
group_3,WALK,day_05_15_,"1,591 ","9,223 "
group_1,BIKE,day_05_16_,"1,640 ","13,047 "
group_1,CAR,day_05_16_,177 ,411 
group_1,GENERAL_BICYCLES,day_05_16_,103 ,342 
group_1,KICKBOARD,day_05_16_,41 ,134 
group_1,PAS_BICYCLES,day_05_16_,225 ,902 
group_1,THROTTLE_BICYCLES,day_05_16_,108 ,515 
group_1,WALK,day_05_16_,180 ,525 
group_3,BIKE,day_05_16_,"22,105 ","288,640 "
group_3,CAR,day_05_16_,"1,206 ","4,098 "
group_3,GENERAL_BICYCLES,day_05_16_,540 ,"3,013 "
group_3,KICKBOARD,day_05_16_,173 ,"1,230 "
group_3,PAS_BICYCLES,day_05_16_,"1,679 ","12,982 "
group_3,THROTTLE_BICYCLES,day_05_16_,979 ,"8,210 "
group_3,WALK,day_05_16_,"1,638 ","9,633 "
group_1,BIKE,day_05_17_,"1,392 ","10,607 "
group_1,CAR,day_05_17_,179 ,400 
group_1,GENERAL_BICYCLES,day_05_17_,94 ,396 
group_1,KICKBOARD,day_05_17_,42 ,149 
group_1,PAS_BICYCLES,day_05_17_,238 ,"1,006 "
group_1,THROTTLE_BICYCLES,day_05_17_,119 ,663 
group_1,WALK,day_05_17_,198 ,599 
group_3,BIKE,day_05_17_,"21,527 ","295,082 "
group_3,CAR,day_05_17_,"1,292 ","5,131 "
group_3,GENERAL_BICYCLES,day_05_17_,578 ,"3,773 "
group_3,KICKBOARD,day_05_17_,187 ,"1,497 "
group_3,PAS_BICYCLES,day_05_17_,"1,743 ","15,127 "
group_3,THROTTLE_BICYCLES,day_05_17_,"1,005 ","9,704 "
group_3,WALK,day_05_17_,"1,621 ","10,274 "
group_1,BIKE,day_05_18_,"1,144 ","9,034 "
group_1,CAR,day_05_18_,194 ,492 
group_1,GENERAL_BICYCLES,day_05_18_,95 ,302 
